stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1005O00143C0,,Central do Brasil,,-22.903070,-43.190830,,,0,,,,
1005O00243C0,,Castelo :: Linha 2110,,-22.904840,-43.175770,,,0,,,,
1005O00253C2,,Ponto Final: Castelo :: Linha 2111,,-22.904630,-43.175430,,,0,,,,
1005O00254C0,,Marrecas,,-22.913200,-43.177330,,,0,,,,
1005O00257C0,,CAIXA Cultural - BNDES,,-22.908730,-43.180330,,,0,,,,
1005O00258C0,,CAIXA Cultural - BNDES,,-22.908800,-43.180510,,,0,,,,
1005O00268T0,,Terminal Churchill,,-22.908913,-43.170618,,,1,,,,
1005O00360C2,,Ponto Final: Castelo :: Linha 306,,-22.905070,-43.176170,,,0,,,,
1005O00198C0,7M9B,"BRS 1,4: Buenos Aires",,-22.904400,-43.183320,,,0,,,,
1005O00197C0,7KKY,"BRS 2,3,5,I: Luis de Camões",,-22.905593,-43.182786,,,0,,,,
1005O00180C0,JG2L,"BRS 1,2,3,4,5,I: Uruguaiana",,-22.906640,-43.180060,,,0,,,,
1005O00181C0,JUCL,"BRS 1,2,3,4,5,I: Largo da Carioca",,-22.906490,-43.177640,,,0,,,,
1005O00231S0,QGWM,"BRS 4,I: Praça da República I",,-22.908640,-43.187720,,,0,,,,
1005O00238S0,2CZT,BRS 4: República do Paraguai,,-22.909000,-43.179260,,,0,,,,
1005O00184C0,,Ponto Final: Castelo :: Ônibus Executivos (Linhas para a Ilha do Governador),,-22.907050,-43.174040,,,0,,,,
1005O00193S9,JB4M,"BRS 1,2: Alfândega",,-22.902420,-43.178770,,,0,,,,
1005O00194S9,J4Z7,"BRS 1,2: Sete de Setembro",,-22.904670,-43.177930,,,0,,,,
1005O00249S0,ZGNU,"BRS 1,2,3,4,5,I: Ouvidor",,-22.902660,-43.175530,,,0,,,,
1005O00241C0,,Terreirão do Samba,,-22.907950,-43.195720,,,0,,,,
